year,month,rank,net_worth,last_name,first_name,full_name,birth_date,age,gender,country_of_citizenship,country_of_residence,city_of_residence,business_category,business_industries,organization_name,position_in_organization,self_made,wealth_status
2024,4,1,233.0 B,Arnault,Bernard,Bernard Arnault & family,3/5/1949,75,Male,France,France,Paris,Fashion & Retail,['Fashion & Retail'],LVMH Moët Hennessy Louis Vuitton,Chairman and CEO,FALSE,Increased
2024,4,2,195.0 B,Musk,Elon,Elon Musk,6/28/1971,52,Male,United States,United States,Austin,Automotive,['Automotive'],Tesla,CEO,TRUE,Increased
2024,4,3,194.0 B,Bezos,Jeff,Jeff Bezos,1/12/1964,60,Male,United States,United States,Miami,Technology,['Technology'],Amazon,Chairman and Founder,TRUE,Increased
2024,4,4,177.0 B,Zuckerberg,Mark,Mark Zuckerberg,5/14/1984,39,Male,United States,United States,Palo Alto,Technology,['Technology'],Meta Platforms,Cofounder,TRUE,Increased
2024,4,5,141.0 B,Ellison,Larry,Larry Ellison,8/17/1944,79,Male,United States,United States,Woodside,Technology,['Technology'],Oracle,CTO and Founder,TRUE,Increased
2024,4,6,133.0 B,Buffett,Warren,Warren Buffett,8/30/1930,93,Male,United States,United States,Omaha,Finance & Investments,['Finance & Investments'],Berkshire Hathaway Inc. (Cl A),CEO,TRUE,Increased
2024,4,7,128.0 B,Gates,Bill,Bill Gates,10/28/1955,68,Male,United States,United States,Medina,Technology,['Technology'],Bill & Melinda Gates Foundation,Cochair,TRUE,Increased
2024,4,8,121.0 B,Ballmer,Steve,Steve Ballmer,3/24/1956,68,Male,United States,United States,Hunts Point,Technology,['Technology'],Los Angeles Clippers,Owner,TRUE,Increased
2024,4,9,116.0 B,Ambani,Mukesh,Mukesh Ambani,4/19/1957,66,Male,India,India,Mumbai,Diversified,['Diversified'],Reliance Industries,Chairman and managing director,FALSE,Increased
2024,4,10,114.0 B,Page,Larry,Larry Page,3/26/1973,51,Male,United States,United States,Palo Alto,Technology,['Technology'],Alphabet,Cofounder and board member,TRUE,Increased
2024,4,11,110.0 B,Brin,Sergey,Sergey Brin,8/21/1973,50,Male,United States,United States,Los Altos,Technology,['Technology'],Alphabet,Cofounder and board member,TRUE,Increased
2024,4,12,106.0 B,Bloomberg,Michael,Michael Bloomberg,2/14/1942,82,Male,United States,United States,New York,Finance & Investments,['Finance & Investments'],Bloomberg,CEO,TRUE,Increased
2024,4,13,103.0 B,Ortega,Amancio,Amancio Ortega,3/28/1936,88,Male,Spain,Spain,La Coruna,Fashion & Retail,['Fashion & Retail'],,,TRUE,Increased
2024,4,14,102.0 B,Slim Helu,Carlos,Carlos Slim Helu & family,1/28/1940,84,Male,Mexico,Mexico,Mexico City,Telecom,['Telecom'],América Móvil,Honorary Chairman,TRUE,Increased
2024,4,15,99.5 B,Bettencourt Meyers,Francoise,Francoise Bettencourt Meyers & family,7/10/1953,70,Female,France,France,Paris,Fashion & Retail,['Fashion & Retail'],,,FALSE,Increased
2024,4,16,91.0 B,Dell,Michael,Michael Dell,2/23/1965,59,Male,United States,United States,Austin,Technology,['Technology'],Dell,Chairman and CEO,TRUE,Increased
2024,4,17,84.0 B,Adani,Gautam,Gautam Adani,6/24/1962,61,Male,India,India,Ahmedabad,Diversified,['Diversified'],,,TRUE,Increased
2024,4,18,78.4 B,Walton,Jim,Jim Walton & family,6/7/1948,75,Male,United States,United States,Bentonville,Fashion & Retail,['Fashion & Retail'],"Arvest Bank Group, Inc.",Chairman and CEO,FALSE,Increased
2024,4,19,77.4 B,Walton,Rob,Rob Walton & family,10/27/1944,79,Male,United States,United States,Bentonville,Fashion & Retail,['Fashion & Retail'],Walmart,Director,FALSE,Increased
2024,4,20,77.0 B,Huang,Jensen,Jensen Huang,2/17/1963,61,Male,United States,United States,Los Altos,Technology,['Technology'],NVIDIA,CEO & President,TRUE,Increased
2024,4,21,72.3 B,Walton,Alice,Alice Walton,10/7/1949,74,Female,United States,United States,Fort Worth,Fashion & Retail,['Fashion & Retail'],Crystal Bridges Museum of American Art,Philanthropist,FALSE,Increased
2024,4,22,67.8 B,Thomson,David,David Thomson & family,6/12/1957,66,Male,Canada,Canada,Toronto,Media & Entertainment,['Media & Entertainment'],Thomson Reuters Corporation,Chairman,FALSE,Increased
2024,4,23,64.3 B,Koch,Julia,Julia Koch & family,4/12/1962,61,Female,United States,United States,New York,Diversified,['Diversified'],,,FALSE,Increased
2024,4,24,62.3 B,Zhong,Shanshan,Zhong Shanshan,12/1/1954,69,Male,China,China,Hangzhou,Food & Beverage,['Food & Beverage'],,,TRUE,Decreased
2024,4,25,58.5 B,Koch,Charles,Charles Koch & family,11/1/1935,88,Male,United States,United States,Wichita,Diversified,['Diversified'],"Koch Industries, Inc.",Chairman and CEO,FALSE,Decreased
2024,4,26,43.8 B,Ferrero,Giovanni,Giovanni Ferrero,9/21/1964,59,Male,Italy,Belgium,Brussels,Food & Beverage,['Food & Beverage'],,,FALSE,Increased
2024,4,27,43.4 B,Pangestu,Prajogo,Prajogo Pangestu,5/13/1944,79,Male,Indonesia,Indonesia,Jakarta,Diversified,['Diversified'],,,FALSE,Increased
